Type,Emotion,Luminance,RMS_contrast,Colorfulness,Edge_density
Graphic-con,Fear,239.8844126682281,38.806211076138254,57.40330646405485,0.8513303016479546
Graphic-con,Joy,243.0165491411209,34.2145856039444,71.43285150567166,0.7657129184019211
Graphic-con,Anger,236.61221284523018,46.21761082803661,75.30521148612242,0.6685061344395721
Realistic,Fear,147.5292013542175,95.30823799296108,47.63466404120607,2.1050477419146487
Realistic,Joy,147.93699423179626,93.19240237621929,47.812755281597966,1.9632225629924016
Realistic,Anger,149.9068749416351,93.9485310375023,47.95355133658734,1.9495709339198073
Real-con,Fear,187.0010526784896,75.03075436800742,42.7414894163815,1.8501793056531688
Real-con,Joy,165.35567124500284,96.93947951680958,38.0605770896756,2.9239741469165117
Real-con,Anger,154.6853511795044,98.58559516770015,27.400775781774442,1.9384921088861522
Ani-con,Fear,224.35100792617803,52.347280525570405,41.408704873025336,0.8235591345502696
Ani-con,Joy,229.84974372425083,48.979385621295,37.67699535042589,0.9023252182573743
Ani-con,Anger,226.64669739856717,52.449297628297394,44.94612010912002,1.2562259185167675
